,condition_label,medical_abstract,condition_name
672,5,acute febrile neutrophilic dermatosis childhood sweet syndrome report case sweet syndrome childhood patient suffer repeat fever chest infection characteristic erythematous plaque severity illness increase age warrant oral steroid treatment review case report date literature comment management prognosis disease childhood,general pathological conditions
673,5,renormalization high cardiac output leave ventricular size follow long term recombinant human erythropoietin treatment anemic dialyze uremic patient obtain information effect correction uremic anemia cardiac function size normotensive dialyzed patient study month start i.v treatment recombinant human erythropoietin rhuepo pulse doppler echocardiographic determination cardiac index ci m mode echocardiographic estimation index left ventricular end diastolic diameter lveddi interventricular septum ivsi leave ventricular posterior wall lvpwi calculation left ventricular mass index lvmi occasion mean /- sd hemoglobin hb concentration rhuepo 5.9 /- 1.3 g dl rise significantly p 0.0001 month remain constant baseline ci 3.4 /- 0.6 l min m2bsa significantly high p 0.0001 healthy subject 2.5 /- 0.5 l decrease month value 2.8 /- 0.5 l long different control pooled baseline month datum inverse relationship hb ci find p 0.0001 baseline lveddi 32.7 /- 4.3 mm m2bsa ivsi /- 1.1 mm m2bsa lvpwi /- 0.8 mm m2bsa significantly high control month therapy change decrease lvpwi month index include lvmi decrease value long high control pooled baseline month datum inverse relationship hb lvmi find p 0.0001 conclude treatment uremic patient rhuepo able renormalize increase cardiac output soon correction anemia,general pathological conditions
674,1,combine tensor fasciae latae musculocutaneous flap sartorius musculocutaneous flap repair wide defect low leg tensor fasciae latae musculocutaneous flap great advantage reconstruction abdominal wall medial border territory limit thigh order expand territory combine tensor fasciae latae musculocutaneous flap sartorius musculocutaneous flap devise flap successfully use resurface large defect low leg distally base musculocutaneous flap advantage flap extremely large territory fact total necrosis flap occur proximally distally pedicle flap suitable large defect abdominal wall low leg gluteal region,neoplasms
675,2,perianal streptococcal cellulitis penile involvement perianal streptococcal cellulitis describe occur year old boy condition involve penis present possible case sexual abuse correct diagnosis establish culture beta haemolytic streptococci group penile perianal skin,digestive system diseases
676,5,empiric use naloxone patient altered mental status reappraisal study objective determine clinical criterion respiration mitotic pupil circumstantial evidence opiate abuse predict response naloxone patient acute alteration mental status ams evaluate criterion predict final diagnosis presence absence opiate overdose accurately response naloxone case set seven thirty patient receive naloxone diagnostic therapeutic purpose discretion large urban paramedic base teaching hospital method review paramedic run sheet audiotape patient available hospital record patient demonstrate response naloxone determine overdose responsible clinical presentation review hospital record select sample naloxone nonresponder main result conclusion patient 3.4 demonstrate complete response naloxone 4.4 manifest partial equivocal response nineteen complete responder partial responder known final diagnosis non responder known final diagnosis ultimately diagnose having overdose respiration presence clinical finding group highly sensitive predict response naloxone sensitive response naloxone predict diagnosis opiate overdose selective administration naloxone ams decrease use drug administer virtually naloxone responder final diagnosis opiate overdose,general pathological conditions
677,4,"admission mid stay medisgroup score predictor death day hospital admission examine ability medisgroup severity measure base clinical datum abstract medical record predict mortality day follow admission medisgroup measure severity admission approximately week hospital stay data base random sample 20,985 admission medicare beneficiary condition hospital seven state january condition high admission mid stay severity score generally associate high risk death condition r square value predict death use admission score range 0.01 0.16 r square value use mid stay score range 0.03 0.34 r square value combine admission mid stay score range 0.05 0.41 admission medisgroup score modestly predictive day mortality mid stay score powerful appropriate severity adjuster screen quality use hospital mortality rate influence substandard care",cardiovascular diseases
678,4,cardiovascular sequelae therapeutic thoracic radiation mediastinal radiation damage endothelial cell result loss capillary ischemia level microcirculation change lead increase collagen proliferation fibrous tissue heart cardiac dysfunction follow radiotherapy surprisingly common pericardial myocardial valvular conduction system coronary artery disease great awareness cardiotoxicity prompt change radiation technique appear reduce clinical cardiovascular complication,cardiovascular diseases
679,5,clinical significance intratesticular arterial anatomy testicular atrophy report patient follow orchiopexy cryptorchidism possible cause atrophy interference testicular blood supply placement testicular traction suture tunica albuginea arterial cast adult human testis create follow placement zero silk traction suture low pole testis determine effect suture intragonadal arterial circulation significant arterial blockage manifest failure parenchymal branch fill observe cast produce injection internal spermatic artery cast produce injection deferential artery result study support discontinue routine use parenchymal testicular traction suture orchiopexy,general pathological conditions
680,1,axillary lymphadenectomy intraductal carcinoma breast year period axillary lymph node dissection treatment intraductal carcinoma breast patient treat modify radical mastectomy treat mammary preservation consist excision lesion axillary dissection radiation therapy axillary node dissection yield positive node axillary dissection intraductal carcinoma breast unlikely yield involved node indicate use instance reserve lesion demonstrate microinvasion,neoplasms
681,2,comparison gall bladder bile endoscopically obtain duodenal bile patient gall stone disease woman man mean sd age 47.4 year bile obtain endoscopic aspiration stimulation gall bladder ceruletid fine needle puncture gall bladder local anaesthetic total lipid concentration puncture bile sample mean sd 11.9 4.7 g dl significantly high endoscopic bile sample 3.9 3.3 g dl p 0.001 total bile acid phospholipid biliary cholesterol express mol% cholesterol saturation index significant difference type sample glycocholic acid concentration endoscopically obtain bile 27.7 6.6 mol% v 23.3 5.4 mol% p 0.01 significantly high puncture bile sample puncture bile exhibit significantly short nucleation time 3.5 3.3 day v 19.6 11.9 day p 0.001 determination nucleation time endoscopic bile aspiration gall bladder stimulation ceruletid lead adequately concentrated sample study subject cholesterol monohydrate crystal formation native bile observe sample puncture bile sample endoscopically obtain bile presence cholesterol crystal determination nucleation time puncture bile good discriminant cholesterol pigment gall stone correlate compute tomogram analysis,digestive system diseases
682,5,familial autosomal recessive rigid spine syndrome neurogenic facio scapulo peroneal muscle atrophy sister cousin present rigid spine facio scapulo peroneal muscle atrophy patient belong family cousin marriage electromyography muscle nerve biopsy neurogenic muscle atrophy peripheral nerve involvement follow progression disease observation association neurogenic facio scapulo peroneal rigid spine syndrome double cousin marriage suggest autosomal recessive inheritance,general pathological conditions
683,3,development traumatic intracranial hematoma minor head injury analyze feature patient appear initially minor head injury develop acute traumatic intracranial hematoma year period patient able open eye spontaneously orient person place time obey command hospital subsequently undergo operation acute intracranial hematoma hematoma extradural patient history altered consciousness symptom headache vomiting present patient focal neurological deficit focal deficit sign basal skull fracture skull fracture radiologically patient include clinically suspect intracranial lesion month injury patient moderate good recovery possibility patient recently sustain head injury develop acute intracranial hematoma completely discount abnormal clinical sign skull x ray retain useful place investigation select patient minor head injury,nervous system diseases
684,5,intra abdominal abscess regional enteritis intra abdominal abscess iaa develop patient 21.2 crohn disease confine small bowel location abscess intraperitoneal ipa 17.9 retroperitoneal rpa 3.3 marked preponderance male patient retroperitoneal group ratio 18:2 p 0.0001 patient operate thirteen patient ipa reoperate recurrent abscess 8.2 reason external fistula develop patient simple incision drainage 3.7 die hepatitis sepsis day surgery patient rpa reoperate recurrent abscess reason external fistula develop patient death group small number patient iaa complicate regional enteritis persistent sepsis cause postoperative death time low comparable series crohn ileo)colitis,general pathological conditions
685,4,acute hemodynamic effect intravenous diperdipine new dihydropyridine derivative coronary heart disease acute hemodynamic effect new dihydropyridine calcium channel blocker diperdipine suitable intravenous administration study right leave cardiac catheterization patient coronary heart disease diperdipine markedly reduce systemic vascular resistance improved stroke index leave ventricular ejection fraction mean pulmonary artery wedge pressure slightly increase possible consequence enhanced venous return right atrial leave ventricular end diastolic pressure significantly change increase preload clearly indicate augment left ventricular end diastolic volume index administration diperdipine leave ventricular contractility estimate end systolic pressure volume ratio dp dt max significantly change analysis individual datum suggest minimally negative inotropic effect minor effect left ventricular contractility largely counterbalance marked reduction afterload produce sharp improvement stroke index enhancement left ventricular ejection fraction reduction systemic vascular resistance inversely directly correlate control value overall diperdipine tolerate patient major untoward reaction consist ischemic episode possibly relate drug administration conclusion intravenous diperdipine appear potent arteriolar dilate agent affect leave ventricular contractility,cardiovascular diseases
686,2,mechanical suture perforation thoracic esophagus safe procedure patient late treat perforation thoracic esophagus exclude ruptured carcinoma intraoperative wound mechanical suture exclusion delay perforation treatment range hour hour length perforation 0.5 15.0 centimeter suture cover flap instance antireflux procedure associate instance digestive ostomy perform death patient comatose arrival result small series suggest myotomy expose mucosa flap essential element technique perforation centimeter late treat primary surgical closure,digestive system diseases
687,2,rational attitude serum alanine aminotransferase measurement blood bank base longitudinal study cohort repeat blood donor cohort blood donor follow year period unit blood collect 2.9 obtain donor alanine aminotransferase alt activity iu l single alt elevation incidence alt increase 2.01 unit 5.1 donor year pattern elevated alt follow donor cite second blood donation bd2 month later 62.5 percent normal alt value retain value blood donation bd3 70.3 alt level return normal bd2 increase value bd3 result lead formulation follow algorithm improve management blood donor donation alt assay blood collection donation alt level measure donation precede alt activity abnormal alt elevate blood collect consecutive alt elevation criterion permanent exclusion donor,digestive system diseases
688,4,drug induce supraventricular tachycardia case report fluoxetine report occurrence supraventricular tachycardia hypotension year old woman maintenance therapy fluoxetine case tachycardia palpitation report supraventricular tachycardia hypotension directly attribute fluoxetine,cardiovascular diseases
689,3,year outcome cerebral infarction white black hispanic little know outcome cerebral infarction different ethnic group stroke patient hospitalize neurological institute cerebral infarction age year occur white black hispanic outcome cerebral infarction differ ethnicity month mortality rate similar white black hispanic white slightly great risk recurrent stroke death black hispanic month infarction risk stabilize risk black hispanic continue rise entire year follow year rate recurrent stroke death 34.8 /- 4.2 white 31.1 /- 3.6 black 21.4 /- 4.8 hispanic p 0.04 difference find distribution stroke risk factor ethnic group cox proportional hazard model demonstrate ethnic difference stroke risk factor infarct subtype responsible ethnic difference outcome abnormal electrocardiogram risk factor stroke recurrence death ethnic group nonlacunar infarct subtype history diabete significant hispanic understand association stroke determinant ethnicity lead focused secondary prevention recurrent stroke,nervous system diseases
690,1,adult t cell leukemia lymphoma tongue case posterior tongue lymphoma associate adult t cell leukemia atl occur lesion lingual dorsal portion report year old woman initially diagnosis hodgkin lymphoma consider finding associate atl lymphadenopathy serum anti atla antibody present combine radiotherapy chemotherapy administer favorable result month later pneumocystis carinii pneumonia develop month later generalize lymphadenopathy hypercalcemia evolve time diagnosis atl patient die renal dysfunction month initial presentation suspect case atl malignant disease t cell lineage malignant lymphoma mycosis fungoide presence htlv-1 infection confirm test anti atla antibodie,neoplasms
691,4,preservation oscillation postocclusive reactive hyperemia oscillation skin blood flow skbf postocclusive reactive hyperemia believe locally mediate event microcirculation characterize activity oscillation healthy young man undergo torr low body negative pressure lbnp postocclusive skbf estimate forearm simultaneously stable thermal environment laser doppler velocimetry periodic behavior skbf characterize frequency domain power spectral analysis lbnp torr increase heart rate decrease forearm blood flow decrease postocclusive skbf amplitude change periodicity skbf frequency response range characteristic postischemic skbf oscillation 0.11 /- 0.04 hz observe lbnp alter frequency response postocclusive skbf quantify periodogram amplitude skbf markedly diminish general decrease arm blood flow find inferential evidence disseminate common pacemaker mechanism perform similarly distant site conclude lbnp baroreflex mediate modulation skbf reduce amplitude change frequency behavior postocclusive skbf propose basis finding preservation vasomotion suggest phenomenon adaptation ischemic change induce disruption blood flow,cardiovascular diseases
692,4,angioplasty occluded coronary artery use thin shaft balloon wire system pre dilatation retrospective review consecutive patient undergo ptca totally occluded coronary artery use recently release thin shaft balloon wire angioplasty system balloon size determine close fit arterial size use predilatation technique technique initially successful patient clinically insignificant episode distal embolization probable early reclosure use thin shaft angioplasty system balloon dilatation totally occluded coronary artery safely single balloon case result simplified procedure economic benefit,cardiovascular diseases
693,5,subclavian artery innominate vein fistula insertion hemodialysis catheter insertion hemodialysis catheter temporary use preferentially perform percutaneous infraclavicular subclavian vein catheterization method involve passage stiff dilator peel away sheath guide wire usually carry fluoroscopy prove valuable safe approach small incidence major complication occur need emphasize sixteen case arteriovenous fistula subclavian artery branch subclavian vein report far literature date case subclavian artery innominate vein fistula report report second case complication suggest possible preventive measure,general pathological conditions
694,4,platelet thromboxane release delay cerebral ischemia patient subarachnoid hemorrhage adenosine diphosphate induce platelet aggregation associate thromboxane b2 release study patient subarachnoid hemorrhage sah order detect possible association altered platelet function development cerebral ischemic complication sah compare value admission patient significantly increase platelet aggregability p 0.05 thromboxane release p 0.001 week sah high value thromboxane release patient deteriorate delay cerebral ischemia permanent neurological deficit thromboxane release significantly high p 0.05 onset severe delay ischemia patient preoperative ischemia compare patient delayed ischemia ischemic deterioration elevated thromboxane release occur operation patient preoperative value similar value ischemic symptom observation suggest increase platelet aggregability thromboxane release associate delayed cerebral ischemia surgery,cardiovascular diseases
695,3,prospective double blind study metoclopramide hydrochloride control migraine emergency department study objective determine effectiveness iv metoclopramide sole therapy relieve pain acute migraine emergency department design prospective study patient divide randomly subject placebo control blinding treat physician patient participant patient present ed migraine require parenteral treatment intervention subject receive mg iv metoclopramide control receive iv normal saline patient assessment relief follow mean numerical scale measurement main result seven percent subject compare control effective pain relief hour p .001 subject achieve mean relief score 2.46 compare 1.69 control p .02 significant effect observe conclusion iv metoclopramide single agent effective safe therapy migraine ed,nervous system diseases
696,4,doxazosin treatment essential hypertension general medical practice latin america latin american study assess general practice set efficacy tolerance daily doxazosin treatment mild moderate essential hypertension sit diastolic blood pressure mm hg patient n treat doxazosin week monotherapy combination antihypertensive agent final visit doxazosin produce mean change sit systolic diastolic blood pressure -18.4/-14.4 mm hg mean daily dose 4.3 mg 77.6 evaluable patient consider therapeutic success lipid analysis identify statistically significant p 0.02 reduction total serum cholesterol 4.85 overall decrease triglyceride level 5.12 accord framingham heart study equation doxazosin produce highly significant p 0.001 reduction calculate probability develop coronary heart disease year patient evaluate 24.5 report effect consider relate treatment 4.5 patient report effect unrelated treatment 16.8 report event unknown relationship effect mild moderate tolerate disappear continued treatment patient 4.1 discontinue therapy 5.9 dose reduce prevalent effect headache dizziness investigator overall assessment antihypertensive efficacy excellent good patient 80.4 tolerance consider excellent good patient 88.5,cardiovascular diseases
697,1,community lifestyle characteristic risk acute lymphoblastic leukaemia child high rate leukaemia child young people associate feature community isolation population growth incidence datum collect specialist registry use compare incidence rate ward level relevant ward characteristic derive routine census ordnance survey datum england wale excess risk childhood acute lymphoblastic leukaemia find ward farth large urban centre excess great ward high socioeconomic status child age year childhood peak fold excess finding general support hypothesis childhood leukaemia infectious aetiology,neoplasms
698,4,cardiac fluoroscopy diagnosis coronary artery disease meta analytic review evaluate variability report accuracy fluoroscopically detect coronary calcific deposit predict angiographic coronary disease apply meta analysis consecutively publish report compare result cardiac fluoroscopy coronary angiography population characteristic technical methodologic factor analyze sensitivity specificity predict coronary disease compare literature exercise ecg exercise thallium scintigram sensitivity increase specificity decrease significantly patient age sensitivity paradoxically low laboratory test patient severe disease diameter narrowing use define angiographic disease work test review bias significantly related report accuracy,cardiovascular diseases
699,5,physician response notification acute problem nursing home frequently cite example physician allege disinterest nursing home patient failure respond rapidly appropriately telephone acute event important change patient status study snfs attach icf evaluate length time require reach physician phone significant clinical change patient condition appropriateness timeliness action physician contact administrative matter update order similar routine exclude seven identify hour nursing report nature problem time detail physician response record patient chart judgment quality physician response consensus regional ur committee case infection decision base detailed criterion develop previous study frequent clinical problem acute infection trauma gi tract disorder cardiorespiratory problem neurological disorder diabetic control result encouraging physician action judge timely physician action judge appropriate action judge inappropriate certain specific clinical problem ie 54/243 infection 4/17 cva 6/49 diabetic control problem implication nursing home care recommendation improve response acute problem discuss,general pathological conditions
700,5,geriatric constipation brief update common problem constipation occur frequently elderly multifactorial origin search underlying cause necessary find adequate history perform thorough physical examination minority patient require investigation guide clinical setting management direct correct underlying cause provide dietary advice commonly medication allow restoration normal bowel habit,general pathological conditions
701,4,efficacy safety doxazosin treatment patient mild moderate essential hypertension elevated level cholesterol hypertensive patient elevate serum cholesterol frequent sinister additional coronary risk factor selective alpha adrenoreceptor inhibitor appear unique ability control risk factor patient age year include man sustained hypertension elevate serum cholesterol level include trial monotherapy doxazosin administer daily range mg influence drug high blood pressure elevated serum cholesterol evaluate week period consist week single blind placebo lead period open week dose adjustment period finally week maintenance period efficacy evaluable patient achieve adequate blood pressure control diastolic blood pressure mm hg decrease diastolic blood pressure great mm hg mean daily dose mg doxazosin persistent change occur heart rate patient evaluable lipid datum nonsignificant trend increase high density lipoprotein cholesterol reduction total cholesterol significant reduction serum triglyceride concentration combine change blood pressure blood lipid level result reduction calculated risk coronary heart disease patient report effect withdraw therapy result confirm antihypertensive anticholesterolemic efficacy daily treatment doxazosin,cardiovascular diseases
702,3,vasospasm contribute monosodium glutamate induced headache consumption monosodium glutamate long consider precipitate headache susceptible patient study direct effect glutamate metabolite glutamine arterial contractility examine use ring rabbit aorta high concentration glutamate cause significant concentration dependent contraction ec50 10(-1)m maximum tension 188.4 /- 33.3 mg wt tension mg tissue agonist antagonist alpha adrenergic histaminergic serotonergic cholinergic gaba nergic receptor inhibition prostaglandin synthesis fail influence glutamate contraction high concentration 10(-5)m calcium channel blocker verapamil inhibit glutamate response glutamate glutamine exhibit concentration dependent relaxation norepinephrine ne phenylephrine pe histamine serotonin ht prostaglandin f2 alpha pgf2 alpha)-induce contraction kainic acid 10(-4)m agonist subpopulation central glutamate receptor potentiate glutamate induce vasoconstriction high concentration 10(-3)m produce irreversible inhibition glutamate contractility central glutamate receptor antagonist ketamine 10(-4)-10(-2)m induce reversible concentration dependent inhibition glutamate induce contraction glutamate contractility dependent extracellular calcium intact endothelium neuronal function result demonstrate direct effect glutamate peripheral arterial tone dietary consumption large quantity msg represent health hazard certain individual pre existing vascular disease,nervous system diseases
703,4,surgical epicardial ablation left ventricular pathway use sling exposure report experience consecutive patient leave free wall pathways operate december use modify direct epicardial approach medial sternotomy adjunct normothermic cardiopulmonary bypass left atrioventricular sulcus expose dislocate heart cephalad right use sling large sponge pass ventricle transverse sinus arterial pressure monitor heart position obtain adequate exposure compromise ventricular function left atrioventricular junction expose use direct approach epicardium incise ventricular edge plane dissection identify open use blunt dissection ventricular wall entire leave atrioventricular junction expose dissection electrophysiological testing repeat assess accessory pathway conduction epicardial cryoablation use accessory pathway conduction present patient transmural cryoablation use normothermic cardiopulmonary bypass accessory pathway conduction persist dissection subendocardial pathway cardiopulmonary bypass use patient early relapse require transmural cryoablation complication,cardiovascular diseases
704,1,rationalisation follow patient non invasive bladder tumour preliminary report risk recurrence progression patient present pta urothelial tumour bladder estimate follow rationalise patient follow year original pathology review carcinoma situ cis dysplasia background urothelium exclude patient progress follow period overall progression rate solitary tumour annual initial recurrence risk air 0.23 year year air fall approximately 0.1 fall significantly subsequent year year patient multiple tumour suffer recurrence year air 0.71 tumour grade influence recurrence progression result indicate solitary pta tumour frequent endoscopic follow justify continue surveillance disease free year necessary estimate risk recurrence useful factor consider plan follow,neoplasms
705,4,coronary leave ventricular hemodynamic response follow reversal flunitrazepam induce sedation flumazenil patient coronary artery disease effect reversal flunitrazepam induce sedation flumazenil coronary hemodynamic myocardial oxygen consumption mvo2 leave ventricular lv performance investigate double blind trial patient stable coronary artery disease undergo cardiac catheterization coronary sinus blood flow measure continuous thermodilution arterial coronary sinus blood analyze oxygen lactate content determinant lv performance obtain cardiac output measure thermodilution left heart catheterization datum reverse flunitrazepam induce sedation patient randomly allocate receive placebo flumazenil increment mg end procedure placebo group significant hemodynamic change observe flumazenil group heart rate cardiac index maximum velocity shortening relaxation time constant significantly alter contrast mean aortic pressure lv end diastolic pressure baseline /- 7.3 /- 4.1 mmhg respectively increase p 0.05 p 0.05 respectively flumazenil administration change represent mainly return presedation value mvo2 coronary resistance significantly alter csbf increase slightly baseline /- ml min increase p 0.05 electrocardiographic evidence myocardial ischemia observe study datum reversal benzodiazepine effect flumazenil associate major alteration lv systolic function relaxation coronary hemodynamic patient coronary artery disease cautiously use lv end diastolic pressure increase time administration,cardiovascular diseases
706,1,etoposide acute leukemia past experience future perspective etoposide single agent active relapse refractory acute myelogenous leukemia aml complete response cr rate drug safely combine cytarabine azacytidine vinca alkaloid anthracycline induce remission rate patient previously treat aml experience etoposide acute lymphoblastic leukemia extensive drug active combination cytarabine aclacinomycin addition etoposide combine cytarabine anthracycline primary treatment aml response rate achieve comparable obtain standard regimen phase ii trial initiate study efficacy nove combination mitoxantrone mg m2 d day plus etoposide mg m2 d day patient refractory aml result extended duration etoposide administration associate high cr rate overall cr rate achieve patient sequential regimen idac idarubicin cytarabine nove design primary treatment adult patient aml cycle idac nove apply depend response result pilot study strategy encouraging patient achieve cr study way verify efficacy strategy,neoplasms
707,1,transform growth factor beta stimulate mammary adenocarcinoma cell invasion metastatic potential experimental metastatic potential 13762nf mammary adenocarcinoma clone mtln3 test pretreatment serum free medium contain transform growth factor tgf beta pg ml lung colony measure week inoculation syngeneic f344 rat bell shape dose response curve 2- fold increase number surface lung metastasis maximal enhancement occur pg ml dose level effect specific addition neutralize anti tgf beta antibody block stimulatory activity level tgf beta pretreatment antibody neutralize anti tgf beta antibody effect untreated cell increase metastatic potential appear increase propensity cell extravasate test membrane invasion culture system mtln3 cell penetrate reconstitute basement membrane barrier 2- 3.5 fold untreated control cell depend length tgf beta exposure increase invasive potential apparently 2- fold increase type iv collagenolytic gelatinolytic 2.4 fold increase heparanase activity tgf beta treatment mtln3 cell alter growth rate morphology presence serum growth inhibit serum free medium likewise adhesion human umbilical vein endothelial cell monolayer immobilize reconstitute basement membrane fibronectin matrix unchanged result suggest tgf beta modulate metastatic potential mammary tumor cell control ability break penetrate basement membrane barrier,neoplasms
708,4,venous infarction follow interhemispheric approach patient acute subarachnoid hemorrhage postoperative venous infarction follow aneurysm surgery study patient anterior communicate artery aneurysm operate interhemispheric approach acute stage subarachnoid hemorrhage sah patient bridge vein sacrifice surgery 47.8 venous infarction frontal lobe contrast 5.9 patient bridge vein preserve develop cerebral edema patient operate day day sah define day complication bridge vein sacrifice venous infarction follow acute aneurysm surgery tend occur frequently patient high sah grade and/or advanced age correlation significant correlation sacrifice vein venous infarction significant p 0.025 potential complication compromise benefit acute aneurysm surgery cause damage important preserve venous system instance select surgical approach base pattern venous drainage frontal lobe,cardiovascular diseases
709,3,osteoblastoma spine review case clinical radiologic feature case osteoblastoma spine review addition pain frequent complaint patient demonstrate objective neurologic deficit scoliosis observe patient aspirin yield pain relief patient pathologic fracture encounter radiologic histologic characteristic osteoblastoma spine indistinguishable arise site typical lesion exhibit define geographic margin sclerotic frequently lobulate border approximately half case predominantly lucent remainder display vary degree matrix mineralization distribution osteoblastoma spinal axis follow cervical-29 thoracic-16 lumbar-17 sacral-13 significant finding include posterior element involvement case striking male female ratio 2.5,nervous system diseases
710,5,holter monitoring ventricular arrhythmia randomise control study intravenous streptokinase acute myocardial infarction occurrence ventricular arrhythmia attribute streptokinase treatment acute myocardial infarction define holter monitoring perform hour patient suspect acute myocardial infarction randomise ratio 2:1 intravenous streptokinase 1.5 x 10(6 iu n placebo infusion n 6.7 hour mean onset symptom episode ventricular fibrillation record hour period hour start treatment incidence frequency ventricular arrhythmia similar patient randomise streptokinase placebo result patient randomise early onset symptom suspect acute myocardial infarction analyse separately frequency abnormal complex pair run repetitive arrhythmia high patient allocate streptokinase reflect arrhythmia associate reperfusion,general pathological conditions
711,5,bilateral intrapulmonary hematoma yr old man know chronic obstructive lung disease develop bilateral localize pulmonary density chest radiograph cardiopulmonary resuscitation autopsy disclose bilateral intrapulmonary hematoma communication bronchi pulmonary artery pleural cavity suggest blunt pulmonary injury probable cause hematoma discuss pathogenic mechanism intrapulmonary hematoma consider differential diagnosis pulmonary density develop vigorous resuscitation,general pathological conditions
712,1,testicular carcinoma patient positive risk human immunodeficiency virus patient acquire immunodeficiency syndrome increase risk certain malignancy acquire immunodeficiency syndrome testicular cancer affect primarily young man potential complication acquire immunodeficiency syndrome impose raise significant concern address question perform retrospective review case testicular cancer year period patient human immunodeficiency virus infection human immunodeficiency virus risk group case stage I ii disease seminoma teratocarcinoma embryonal cell carcinoma teratoma clinical presentation patient comparable patient human immunodeficiency virus risk factor majority patient receive standard therapy include orchiectomy follow lymphadenectomy radiation therapy chemotherapy depend stage pathological subtype patient tolerate therapy course radiation therapy complicate pneumocystis carinii pneumonia patient achieve complete remission die testicular cancer treatment patient worsen immunosuppression surveillance recommend orchiectomy acquire immunodeficiency syndrome patient stage I disease majority patient human immunodeficiency virus infection receive standard therapy,neoplasms
713,1,"pancreatic involvement human immunodeficiency virus infection involvement pancrea human immunodeficiency virus hiv infection adequately address object review I analyze english language literature include single case report pancreatic involvement large series report detailed pathological finding patient hiv infection nonspecific pathological change pancrea frequently autopsy hiv infect patient common control type infection mainly cytomegalovirus cryptococcus neoforman mycobacteria neoplasm lymphoma kaposi sarcoma involve pancrea usually disseminate serum amylase elevate patient remain asymptomatic occasional instance severe fatal pancreatitis report hiv infection attendant drug toxicity pentamidine predictable incidence hypoglycemic episode 2',3'-dideoxyinosine provoke pancreatitis minority treat patient drug toxicity deserve great clinical concern opportunistic infection neoplasm",neoplasms
714,2,immunochemical characterization quantitative distribution pancreatic stone protein sera pancreatic secretion pancreatic disorder fluorometric immunoassay establish quantitate pancreatic stone protein provide sensitivity concentration 0.015 0.5 microgram ml concentration pancreatic stone protein determine pancreatic secretion obtain patient suffer chronic pancreatitis n include calcify form n pancreatic cancer n nonpancreatic disease n significant difference find contrast increase concentration find serum sample patient chronic 39/66 acute pancreatitis 16/20 compare control patient difference diagnostic group control highly significant p 0.0001 independent pancreatic enzyme activity immunochemical analysis serum pancreatic stone protein isoelectric point ph similar report pancreatic thread protein respect recent communication datum support etiopathogenic role postulate pancreatic stone protein chronic pancreatitis chronic calcify pancreatitis investigator,digestive system diseases
715,4,right ventricular infarction clinical case study article review specific case mrs f. year old white woman recently classical right ventricular infarction associate left ventricular inferior wall myocardial infarction presentation cover medical history clinical course pathophysiology right ventricular infarction goal medical modality use treatment nursing problem identify specifically relate right ventricular infarct treatment consideration discuss brief conclusion recap mrs f. discharge course review specific problem associate right ventricular infarct critical care nurse need aware,cardiovascular diseases
716,3,enhance vitro uptake retention 3h tetraphenylphosphonium nervous system tumor cell photodynamic therapy promising treatment human brain tumor selective retention certain compound tumor cell certain lipophilic cationic compound tetraphenylphosphonium tpp selectively variety carcinoma preferential retention tpp demonstrate breast carcinoma cell line mcf-7 compound test previously cell derive nervous system tumor present study tritiate tpp 3h tpp uptake retention different cell culture histologically different type nervous system tumor measure datum compare positive control mcf-7 negative control normal african green monkey kidney epithelium cv-1 normal human fibroblast wi-38 cell line uptake retention characteristic group specific pathological tumor type individual tumor variability notable malignant astrocytoma grade iii iii glioblastoma malignant neurofibrosarcoma cell preferential uptake retention 3h tpp relative meningioma cell normal control clonogenic assay utilize cytotoxic lipophilic cationic compound dequalinium strong retainer 3h tpp susceptible effect dequalinium weak retainer datum demonstrate certain human experimental animal nervous system tumor cell line retain lipophilic compound possess delocalize positive charge lipophilic cationic compound useful intraoperative delineation tumor margin photodynamic therapy certain nervous system tumor,nervous system diseases
717,5,local hypothermia prolong safe tourniquet time local hypothermia study method safely prolong tourniquet time reconstructive procedure upper extremity ice blanket construct flannel cloth cold gel pack apply limb minute preoperatively seventy patient evaluate complication result hypothermia prolong tourniquet application duration continuous tourniquet ischemia average hour minute intraoperative muscle temperature recording indicate iced limb average 12.9 degree cool nonice limb tourniquet inflation electron microscopic study biopsie muscle evidence ischemic change postoperative complication associate prolonged tourniquet inflation hypothermia blanket technique local hypothermia appear safe effective method decrease adverse effect tourniquet ischemia allow continuous tourniquet inflation time extend safely customary hour limit,general pathological conditions
718,5,mucocelelike tumor breast associate atypical ductal hyperplasia mucinous carcinoma clinicopathologic study seven case study seven patient mucocelelike tumor breast know benign lesion confuse mucinous carcinoma breast patient palpable mass microscopically striking feature cystic character lesion epithelial lining cyst usually flat cuboidal low columnar mucin pool frequently appear near ruptured cyst mucocelelike tumor contain microscopic focus mucinous carcinoma tumor area atypical ductal hyperplasia contain abundant intraluminal mucinous material mucin compose predominantly neutral nonsulfated acid mucin character identical mucinous carcinoma mucocelelike tumor series associate atypical ductal hyperplasia carcinoma mucocelelike tumor early mucinous carcinoma breast recommend examination entire speciman careful clinical follow,general pathological conditions
