,condition_label,medical_abstract,condition_name
2056,5,cloning of a gene that is rearranged in patients with choroideraemia choroideraemia tapetochoroidal dystrophy tcd a common form of xlinked blindness is characterized by progressive dystrophy of the choroid retinal pigment epithelium and retina previous studies have assigned the tcd gene to a small segment of the xq21 band by making use of reverse genetics strategies we have isolated eight overlapping complementary dna clones from the same chromosomal region the corresponding gene is expressed in retina choroid and retinal pigment epithelium the cdnas encompass an open reading frame of 948 base pairs that is structurally altered in eight tcd patients with deletions and in a female patient with a balanced translocation involving xq21 these findings provide strong evidence that we have cloned the gene underlying choroideraemia elucidation of its function should provide new insights into the molecular mechanisms responsible for this disorder and other hereditary retinopathies ,general pathological conditions
2057,5,the influence of calcium alginate haemostatic swabs upon operative blood loss in adenotonsillectomy although adenotonsillectomy is regarded as a minor procedure it has been shown that 18 of patients may experience an operative blood loss of 1020 of the total blood volume the aim of this study was to determine whether calcium alginate haemostatic swabs reduce operative blood loss in adenotonsillectomy seventytwo patients ages 212 years entered a prospective trial in which the operation was performed either with normal gauze swabs or calcium alginate swabs thirtysix children were randomized to each group the mean blood loss was found to be 349 ml 207 of total blood volume and 478 ml 297 of total blood volume respectively although there was no significant reduction in operative blood loss using calcium alginate in both groups the blood loss was much smaller than that stated by the majority of previous workers ,general pathological conditions
2058,5,bronchobiliary fistula detected by cholescintigraphy we present a case of a bronchobiliary fistula initially detected by hepatobiliary scintigraphy the patient developed bilioptysis 18 mo after undergoing a right hepatic lobectomy and resection of the common bile duct for cholangiocarcinoma the procedure was complicated by the development of a subphrenic abscess that required percutaneous biliary drainage ,general pathological conditions
2059,5,edwards syndrome after the replacement of cryopreservedthawed embryos a case of edwards syndrome after the replacement of frozenthawed embryos is reported the presence of cardiac abnormalities and limb deformities raised the suspicion of chromosomal abnormality the diagnosis of trisomy 18 was made by cytogenetic analysis of fetal blood from the umbilical vein the chromosomal nondisjunction might have been spontaneous or because of freezing and thawing if it occurred as a result of freezing and thawing it is more likely that this was at the first cleavage division rather than the second meiotic division because the embryos were frozen at the late pronuclear stage unfortunately there were no karyotypic markers in the couples chromosomes to time the nondisjunction the wisdom of using donor oocytes in an ovum donation program from patients with longstanding infertility is questioned ,general pathological conditions
2060,4,hexamethonium and midazolam terminate dysrhythmias and hypertension caused by intracerebroventricular bupivacaine in rabbits previous studies have demonstrated that bupivacaine administered directly into the central nervous system cns is capable of producing signs of bupivacaine cardiovascular toxicity to investigate the mechanisms by which bupivacaine may act within the cns to produce cardiovascular toxicity we studied four groups of halothaneanesthetized rabbits in which infusion of intracerebroventricular icv bupivacaine or intravenous iv phenylephrine resulted in dysrhythmias and hypertension in group 1 n  5 icv bupivacaine 500  79 micrograms  produced dysrhythmias lasting 73  13 min whereas icv saline caused no dysrhythmias or hypertension in group 2 n  9 icv bupivacaineinduced hypertension and dysrhythmias were abolished by icv midazolam in 44  06 min and when dysrhythmias and hypertension recurred 22  09 min hexamethonium 10 mgkg iv promptly terminated dysrhythmias and hypertension 14  1 s in group 3 n  10 icv bupivacaineinduced dysrhythmias and hypertension were not affected by increasing the inspired halothane concentration from 08 to 16 in group 4 n  6 iv phenylephrineinduced dysrhythmias and hypertension were not affected by icv midazolam these results suggest that icv bupivacaine produces dysrhythmias and hypertension by increasing autonomic nervous system ans outflow from the brain stem the finding that peripheral autonomic blockade by hexamethonium rapidly terminated dysrhythmias and hypertension supports this mechanism we speculate that icv bupivacaine produces an increase in autonomic outflow by blockade of the inhibitory gammaaminobutyric acid gaba neurons that are known to be the principal tonic inhibitors of the ans ,cardiovascular diseases
2061,5,the use of glissons capsule flap in reduced orthotopic hepatic transplantation the technique of graft reduction has increased the donor pool for children in need of orthotopic hepatic transplantation however this technique has been associated with increased perioperative blood loss further refinements such as covering the cut surface of the donor hepatic duct with a flap of glissons capsule may help reduce this complication ,general pathological conditions
2062,2,parathyroid hormone and cirrhosis of the liver fifty patients with liver cirrhosis 36 alcoholic 1 druginduced 7 posthepatitic and 6 cryptogenic and normal renal function were investigated to determine whether pth levels in serum measured using the common midregion human pth4468 ria are elevated in such patients and whether this is related to impaired liver function rather than to the effect of secondary hyperparathyroidism their data were compared with those from 25 control subjects the median pth level of 462  18 ngl  sem was significantly increased p less than 001 in cirrhotics compared with that of 236  13 ngl in the control group significant correlations were found between pth levels and parameters of liver function such as prothrombin time r  040 p less than 001 albumin as a percentage of total protein r  048 p less than 001 bilirubin r  035 p less than 005 albumin r  034 p less than 005 and cholesterol r  032 p less than 005 but not for antipyrine clearance suggesting increasing pth with decreasing liver function the median calcium level 226  003 mmoll corrected for changes in albumin was near the lower limit of the normal range 225260 but corrected calcium and pth were positively correlated r  033 p less than 005 indicating that the elevation is not reactive to calcium depletion a negative correlation existed between pth and 25hydroxycholecalciferol r  049 p less than 005 the main circulating metabolite of vitamin d normal values in an immunoradiometric assay that detects the whole sequence of human pth184 suggest that fragments rather than the intact hormone are responsible for pth elevations in cirrhosis the positive correlation between midregion pth and corrected calcium is probably an artifact of the correction formula in conclusion midregion pth fragments are increased in patients with liver cirrhosis the reason for this elevation may well be the impaired liver function rather than secondary hyperparathyroidism ,digestive system diseases
2063,5,prochlorperazine and transdermal scopolamine added to a metoclopramide antiemetic regimen a controlled comparison cisplatininduced nausea and vomiting occurs both acutely and over a prolonged period of time these symptoms may be incapacitating and are frequently given as a reason to discontinue therapy we compared prochlorperazine and transdermal scopolamine when added to a standardized metoclopramide antiemetic regimen twentyseven patients receiving cisplatin at 100 mgm2 were randomly assigned to one of the two treatment arms patients were observed during chemotherapy and answered a standard questionnaire 2426 hours later among similar treatment groups no differences were seen regarding the number of emetic events level of nausea degree of sedation or overall acceptability of one treatment arm or another while not superior to prochlorperazine transdermal scopolamine is a useful antiemetic agent and can be combined with metoclopramide in an attempt to reduce cisplatininduced nausea and vomiting further evaluation of this approach is needed ,general pathological conditions
2064,5,are measurements of height made by health visitors sufficiently accurate for routine screening of growth to find out whether measurements of height made by health visitors are sufficiently accurate for use in routine screening of children we carried out an interobserver and intraobserver reliability study height measurements were made on a group of 10 children aged 3 years old and 10 aged 45 years old by two sets of four health visitors they used a microtoise or wall chart and the measurements were compared with those made by a trained auxologist with a harpenden stadiometer for a single assessment of height both pieces of equipment gave reasonably accurate results in a child aged 3 years with height measured on the microtoise as 100 cm the true height could be expectedwith 95 probabilityto lie between 992 cm1018 cm at the age of 45 years if the measurement was 110 cm the childs true height could be expected to lie between 1089 cm and 1119 cm the narrowest confidence interval for the growth rate from 3 to 45 years was achieved with the microtoise taking the mean of three measurements we conclude that measurements made by health visitors are sufficiently accurate for routine screening of height and the use of such measurements for the calculation of height velocity could be improved by more structured training ,general pathological conditions
2065,5,sudden death associated with undiagnosed graves disease hyperthyroidism may result in multiple symptoms attributable to an excess of thyroid hormone we report a case of graves disease in association with sudden death in a previously healthy undiagnosed young female this case illustrates an unusual initial presentation of graves disease ,general pathological conditions
2066,4,tricuspid valve dysplasia or displacement in intrauterine life in 450 cases of structural heart disease diagnosed prenatally 38 fetuses 85 had either a dysplastic or a displaced tricuspid valve the tricuspid valve was dysplastic in 22 fetuses all of which had evidence of tricuspid regurgitation resulting in right atrial dilation and increased cardiothoracic ratio an associated abnormality of the pulmonary valve occurred in 16 fetuses the remaining 16 fetuses had ebsteins malformation 14 with evidence of tricuspid incompetence at presentation and 10 with an associated abnormality of the pulmonary valve of the 38 cases the pregnancy was interrupted in 17 spontaneous intrauterine fetal death occurred in 8 11 infants died postnatally and 2 infants are still alive additional abnormalities were found in 8 cases chromosomal anomalies in 2 ventricular septal defects in 2 corrected transposition in 2 the chiari malformation in 2 supraventricular tachycardia in 1 case and coarctation of the aorta in 1 fetuses with severe abnormalities are selected for fetal echocardiography by the four chamber screening program and a high rate of natural loss both in intrauterine life and immediately after birth was observed in the 21 cases in which pregnancy was continued this would explain the higher incidence of tricuspid valve disease in our prenatal compared with postnatal series although increased cardiothoracic ratio and associated lesions of the right ventricular outflow tract contribute to the poor outcome in the cases detected prenatally the absence of these features does not always indicate a good prognosis because progression of disease can occur with advancing gestational age no absolute measurement or single echocardiographic feature emerged as a consistent predictive factor of prognosis ,cardiovascular diseases
2067,5,role of visceral afferent mechanisms in functional bowel disorders this report analyzes the clinical and physiological evidence supporting a role for altered visceral afferent mechanisms in the pathogenesis of two functional bowel syndromes noncardiac chest pain and the irritable bowel syndrome considerable recent evidence indicates that increased contractility is present only in a minority of patients and that hypercontractile episodes are not temporally related to abdominal pain in contrast altered sensation and motor reflexes in response to physiological stimuli such as mechanical distention or acid is common when appropriately investigated the vagal and spinal afferent innervation mediates visceral sensation and is involved in multiple reflex loops regulating gastrointestinal effector function such as motility and secretion sensory input can be modulated peripherally at the afferent nerve terminal at the level of prevertebral ganglia the spinal cord and the brainstem an upregulation of afferent mechanisms would result both in altered conscious perception of physiological stimuli and in altered motor reflexes current evidence is consistent with an alteration in the peripheral functioning of visceral afferents andor in the central processing of afferent information in the etiology of altered somatovisceral sensation and motor function observed in patients with functional bowel disease ,general pathological conditions
2068,4,intraoperative coronary excimer laser angioplasty preliminary clinical experience diffuse coronary artery atherosclerosis is generally recognized as a deterrent to successful revascularization if it cannot be adequately treated mechanical endarterectomy can be useful but it is not the optimal solution owing to the associated higher incidences of perioperative infarction and mortality the use of laser energy as an endarterectomy tool appears promising to investigate the application of excimer laser radiation to intraoperative coronary artery endarterectomy 15 stenotic lesions in 13 patients were treated with excimer irradiation during coronary artery bypass grafting eleven 73 of the lesions were enlarged by the excimer probe 6 of the successes were in calcified lesions the 4 arteries not enlarged by the excimer laser all demonstrated calcified lesions there were 3 perforations and 2 dissections all but 1 in heavily calcified arteries the results of this phase 1 safety and efficacy study indicate that excimer irradiation can recanalize most arteries including total and subtotal occlusions and some calcified lesions further evaluation with better delivery systems is needed to determine whether the perforation rate can be reduced ,cardiovascular diseases
2069,2,biliary tract disease in rats with experimental small bowel bacterial overgrowth small bowel bacterial overgrowth which develops in surgically created jejunal selffilling blind loops is associated with hepatic injury in susceptible rat strains the histological findings are portal tract inflammation and bile duct proliferation and destruction in this study evidence of injury to the extrahepatic and intrahepatic bile ducts in susceptible and resistant inbred rats with selffilling blind loops was determined by bile flow rates histological appearance of crosssections of bile ducts and cholangiography lewis and wistar rats with selffilling blind loops had thickening of the crosssectional area of the extrahepatic bile ducts compared with controls and nonsusceptible buffalo rats p less than 0001 daily metronidazole therapy significantly reduced thickening of bile ducts in lewis and wistar rats with selffilling blind loops bile flow was increased in lewis and wistar rats with blind loops compared with controls p less than 005 cholangiograms of lewis and wistar rats with selffilling blind loops demonstrated extrahepatic ductal dilatation and ectasia with irregular beaded rapidly tapering and tortuous intrahepatic ducts blinded cholangiographical scores of susceptible rat strains with selffilling blind loops were higher score  59  23 than those of controls 12  04 rats with blind loops treated with metronidazole 08  13 and nonsusceptible buffalo rats with blind loops 06  09 p less than 001 biliary histological and cholangiographical abnormalities found in this rat model resemble features of primary sclerosing cholangitis this animal model will be useful in exploring mechanisms of the association of hepatobiliary inflammation with intestinal injury and investigating potential therapeutic agents ,digestive system diseases
2070,4,ventricular arrhythmias in ischemic heart disease ventricular arrhythmias remain the leading cause of death from coronary artery disease this review summarizes current thinking in several areas relating to the pathophysiology prognosis and therapy of ventricular arrhythmias associated with acute and chronic coronary artery disease syndromes the experimental basis of arrhythmias in the setting of acute myocardial ischemia and chronic myocardial infarction is described stressing the important pathophysiologic differences between these two conditions the effects of the autonomic nervous system as a key modulator of ischemic arrhythmogenesis are discussed insights derived from endocardial mapping studies into the nature of ventricular tachycardia in humans with chronic myocardial infarction are described including implications for risk stratification and therapy to prevent arrhythmia recurrence current therapeutic principles are discussed in the management of ventricular arrhythmias associated with coronary artery disease including pharmacologic approaches surgical and catheter ablation and automatic implantable cardioverting and defibrillating devices ,cardiovascular diseases
2071,3,the effect of continuous drainage of cerebrospinal fluid in patients with subarachnoid hemorrhage a retrospective analysis of 108 patients the effects of continuous drainage of cerebrospinal fluid csf on vasospasm and hydrocephalus were analyzed retrospectively in 108 patients with subarachnoid hemorrhage sah who were operated on for ruptured aneurysms within 48 hours of their onset ninetytwo of these patients underwent a procedure for csf drainage cisternal drainage ventricular drainage lumbar drainage or a combination of these the duration the total volume and the average daily volume of csf drainage were 104  70 days mean  sd 2034  1566 ml and 190  653 ml respectively patients with a greater drainage volume at a lower height of drainage in the early period after sah developed more cerebral infarctions later p less than 0025 the relationship between the total volume of csf removed and shuntdependent hydrocephalus was determined to be statistically significant p less than 0005 cerebral infarction and hydrocephalus after sah were also found to be statistically associated p less than 0001 thus continuous cerebrospinal fluid drainage should not be performed too readily in patients with sah because the removal of a large amount of csf can induce cerebral vasospasm as well as hydrocephalus ,nervous system diseases
2072,5,giant cell versus lymphocytic myocarditis a comparison of their clinical features and longterm outcomes background giant cell myocarditis has rarely been diagnosed premortem and little is known about its natural history in addition no comparative studies with lymphocytic myocarditis exist methods and results the clinical features serial change in left ventricular fraction lvef and outcomes of all patients with histologically verified myocarditis were retrospectively evaluated ten patients 22 were found to have giant cell myocarditis group 1 whereas the remaining 36 78 had lymphocytic myocarditis group 2 age at presentation gender distribution duration of symptoms initial lvef and resting hemodynamics did not differ between groups ventricular tachycardia was detected in 90 of group 1 patients compared with only 25 of group 2 p  00007 atrioventricular block that required pacemaker insertion was also more common in group 1 60 than in group 2 83 p  0001 left ventricular systolic function declined during followup in group 1 patients lvef 043  007026  005 p  011 but increased in group 2 patients lvef 033  003041  003 p  002 when the net change between initial and final lvef was assessed a significant difference was evident giant cell group 017  006 lymphocytic group 007  003 p  00008 although a greater proportion of patients in group 1 died or required transplantation seven of 10 versus 11 of 36 p  003 actuarial survival over 4 years was not different for the giant cell group 50 than for the lymphocytic group 62 conclusion giant cell myocarditis was more prevalent than previously recognized and highly associated with both ventricular tachycardia and pacemaker requirement the likelihood of an adverse event either cardiovascular mortality or cardiac transplantation was significantly greater for patients with giant cell myocarditis than for those with lymphocytic myocarditis perhaps because of the progressive decline in left ventricular systolic function that was observed in those with giant cell myocarditis ,general pathological conditions
2073,5,molecular biology of circulatory shock part iii human hepatoblastoma hepg2 cells demonstrate two patterns of shockinduced gene expression that are independent exclusive and prioritized during shock and resuscitation parenchymal cells of solid organs are exposed to a rapidly changing microenvironment which may include a reduced oxygen tension and an increased concentration of certain cytokines including tumor necrosis factor alpha and interleukin1 in vivo experiments that testedl iver biopsied from pigs undergoing cardiogenic shock and resuscitation demonstrated several patterns of gene expression to study the independent and additive influences of hypoxia and of cytokines in vitro human hepatoblastoma hepg2 cells were perturbed by hypoxiareoxygenation hr by heat shock and by the cytokines interleukin1 and tumor necrosis factor alpha alone and in combination hr induces new patterns of protein synthesis and secretion that are indistinguishable from those induced by heat shock and independent of the acutephase response mediated by the cytokines the hr heatshock response has priority over and will extinguish gene expression supported by the cytokines this previously unrecognized hierarchy of stress gene expression could well form the molecular basis of shockrelated cell and organ failure ,general pathological conditions
2074,5,proliferation characteristics of human colorectal carcinomas measured in vivo the cell proliferation kinetics of 100 human colonic and rectal adenocarcinomas have been studied in vivo by bromodeoxyuridine infusion and multiparameter flow cytometry a total of 97 patients three with synchronous tumours consented to receive a single bolus dose of 250 mg between 24 and 16 h before curative or palliative surgery by this method the ploidy pattern the total and aneuploid labelling indices li the s phase duration ts and the potential doubling time tpot can be estimated of the tumours 48 were diploid and 52 were aneuploid the mean and median total li of 100 tumours were 90 per cent range 07222 per cent the mean aneuploid li was 121 per cent median 120 per cent range 20255 per cent and was significantly higher than the total li p  001 the labelling index alone is not a sufficient indicator of proliferation because the ts also varies within and between tumours the intertumour range of the ts varied from 40 to 286 h the mean was 141 h and the median was 131 h the mean tpot was 59 days median 39 days with a range of 17214 days no correlation was found between any kinetic parameters and the dukes classification or histological classification the correlation between proliferation and prognosis will be established in due course ,general pathological conditions
2075,4,tenyear followup of quality of life in patients randomized to receive medical therapy or coronary artery bypass graft surgery the coronary artery surgery study cass quality of life indexes were assessed in 780 patients 10 years after randomization to medical therapy n  390 or coronary artery bypass graft surgery n  390 in the coronary artery surgery study at 10 years mortality was 218 in the medical group and 192 in the surgical group p  ns and 144 37 of the medical group had undergone surgery because of increasing chest pain at study entry 22 of medical and surgical patients were angina free at 1 and 5 years after entry the frequency of asymptomatic patients was 66 and 63 in the surgical group and 30 and 38 in the medical group however by 10 years after entry the proportion of patients free of angina had fallen to 47 in the surgical group and to 42 in the medical group activity limitation and use of betablockers and longacting nitrates were less in the surgical than the medical group at 1 and 5 years after entry but little different from the medical group at 10 years after entry throughout followup recreational status employment status frequency of heart failure use of other medications and hospitalization frequency were similar between the two groups thus indexes of quality of life such as angina relief increased activity and reduction in use of antianginal medications initially appear superior in patients with stable manifestations of ischemic heart disease assigned to surgery but by 10 years after entry these advantages are much less apparent although the observed similarities of the medically and surgically assigned groups at 10 years reflect return of symptoms in the surgical group to some extent a more important explanation is the performance of late surgery in a large proportion of the medically assigned patients rendering them asymptomatic ,cardiovascular diseases
2076,2,liver and pancreas improved spinecho t1 contrast by shorter echo time and fat suppression at 15 t t1weighted spinecho magnetic resonance mr images have had limited softtissue contrast at 15 t the authors investigated the effects of echotime te minimization and fat suppression on mr images of the liver and pancreas two sets of mr images were obtained with identical repetition times and other parameters in 10 subjects with seven liver lesions images with tes of 20 and 12 msec were compared in 18 additional subjects with seven liver lesions and five pancreatic carcinomas images with identical tes but with and without fat suppression were compared contrasttonoise ratios cnrs were greater with a te of 12 msec than with a te of 20 msec for liver versus spleen 76 vs 49 p  014 and liver versus lesion 69 vs 39 p  031 in patients without fatty liver cnr for six lesions versus liver was greater 95 vs 60 p  014 with fat suppression cnr between glandular pancreas and cancer was most conspicuous with fat suppression but fat planes were less distinct minimization of te improves t1weighted images significantly fat suppression also improves cnr but the disadvantages of fat suppression do not allow elimination of conventional t1weighted images ,digestive system diseases
2077,4,bradyarrhythmia after heart transplantation incidence time course and outcome from june 1980 to april 1989 72 of 401 18 adult recipients of orthotopic heart transplantation developed prolonged greater than 24 hours bradyarrhythmias less than 60 beatsmin within 5 days after transplantation junctional bradycardia occurred in 50 69 recipients sinus bradycardia in 18 25 and slow ventricular response during atrial fibrillation in four 6 fiftyfive of 72 76 patients had bradyarrhythmias of less than 20 days duration less than 7 days 50 patients 720 days five patients fifty patients returned to sinus rhythm greater than 60 beatsmin by the time of discharge five patients expired within 20 days seventeen of 72 24 patients had bradyarrhythmia for more than 20 days which was symptomatic in 11 all 17 patients junctional bradycardia 13 patients sinus bradycardia four patients received a permanent pacemaker within 40 days after transplantation between 1 and 12 months mean 4  3 months after pacemaker implantation 12 patients recovered sinus rhythm greater than 70 beatsmin the other five patients had intrinsic rates of 3257 beatsmin mean 48  10 beatsmin during 19 months mean 4  3 months of followup the donor ischemic time in bradyarrhythmia patients was 202  34 minutes which was significantly longer p less than 001 than the 173  43 minutes for those patients without bradyarrhythmia conclusively the incidence of posttransplantation bradyarrhythmia is relatively high it is usually temporary however even in patients with a prolonged duration of bradyarrhythmia a relation appears to exist between donor ischemic time and the incidence of bradyarrhythmia ,cardiovascular diseases
2078,4,close correlation of intraabdominal fat accumulation to hypertension in obese women the relation between intraabdominal visceral fat accumulation and blood pressure was investigated in 67 obese women mean body mass index 336  31 average age 50  11 years as an index of intraabdominal fat accumulation the ratio of the intraabdominal visceral fat area to subcutaneous fat area was determined using a computed tomographic section at the level of the umbilicus when the obese subjects were divided into a hypertensive group and a normotensive group the ratio of the intraabdominal visceral fat area to subcutaneous fat area in the hypertensive group was significantly higher 053  033 versus 029  012 p less than 001 significant correlations between the ratio of intraabdominal visceral fat area to subcutaneous fat area and systolic blood pressure r  062 p less than 0001 and diastolic blood pressure r  053 p less than 0001 also were found however no significant difference existed in either the body mass index or the waisttohip circumference ratio between the hypertensive and normotensive groups plasma renin activity aldosterone epinephrine and norepinephrine levels were not significantly different between the two groups moreover the correlation between the ratio of the intraabdominal visceral fat area to subcutaneous fat area ratio and blood pressure was found independent of age and body mass index by multiple regression analyses we conclude that intraabdominal fat accumulation itself may play an important role in the pathogenesis of hypertension in obesity ,cardiovascular diseases
2079,4,sepsisrelated cardiogenic shock to further define cardiovascular abnormalities in patients with septic shock serial conventional hemodynamic measurements combined with twodimensional echocardiographic studies were performed at the bedside in 21 patients admitted for an acute episode of sepsisrelated circulatory failure measurements obtained during the first hours of hospitalization revealed a group of six patients group 1 with markedly depressed left ventricular function as evidenced by a low cardiac index ci 22  08 lminm2 reduced left ventricular ejection fraction lvef 21  8 and an increased arterialvenous oxygen content difference right ventricular systolic function was also severely depressed these patients were characterized as having sepsisrelated cardiogenic shock secondary to profound myocardial depression which was reversible within 24 to 48 h with inotropic support the 15 remaining patients group 2 exhibited an initially increased ci 49  18 lminm2 with a low systemic vascular resistance in group 2 lvef remained within the normal range despite abnormally low peripheral vascular resistance this finding would suggest the presence of slight to moderate depression of left ventricular systolic function all patients in this series had a normal left ventricular enddiastolic volume whether profound myocardial depression was present or not ,cardiovascular diseases
2080,3,a surgical approach to the cervicothoracic spine we describe a method for approaching the lower cervical and upper thoracic spine the brachial plexus and related vessels the method involves the elevation of the medial corner of the manubrium the sternoclavicular joint and the medial half of the clavicle on a pedicle of the sternomastoid muscle we have used this exposure in 17 cases with few complications and good results its successful performance requires high standards of anaesthesia surgical technique and postoperative care ,nervous system diseases
2081,1,cytogenetic studies in untreated hodgkins disease very little data have been published on cytogenetic abnormalities in hodgkins disease hd and their correlation with clinicopathologic features are scanty we have performed chromosomal analysis of lymph nodes from 60 previously untreated hd patients and obtained analyzable metaphases in 49 patients 82 chromosomal abnormalities were found in 33 patients 55 but only 31 karyotypes could be at least partially described twentynine cases showed numerical abnormalities that involved all chromosomes with the exception of chromosomes 13 and y which were gained less frequently and lost more frequently than other chromosomes structural abnormalities were found in 30 cases involving all chromosomes except y chromosomal regions 12p1113 13p1113 3q2628 6q1516 and 7q3135 were rearranged in more than 20 of the analyzable cases no correlation was found between cytogenetic findings and initial characteristics when compared with diffuse bcell lymphomas defects in regions 2p25 p less than 01 12p1113 p less than 01 13p1113 p less than 01 14p11 p less than 01 15p1113 p less than 02 and 20q1213 p less than 05 were more frequent in hd when compared with tcell lymphomas only defects in regions 12p1213 p less than 01 and 13p1113 p less than 01 were more frequent in hd failure to obtain analyzable metaphases was correlated with stage iv of the disease p less than 05 and with a poor survival p less than 01 but cytogenetic results showed no other correlation with clinical outcome we conclude that molecular studies in hd should be focused on the short arms of chromosomes 12 and 13 determination of the clinical significance of cytogenetic findings will require a larger number of patients and a longer followup period ,neoplasms
2082,4,effects of calcium channel blockade on calcium homeostasis in mild to moderate essential hypertension calcium channel blockers may alter parathyroid hormone secretion in vitro which would alter calcium homeostasis to determine the chronic effect of calcium channel blockade in vivo we conducted a randomized double blind 16 week study comparing the effects of two pharmacologic antihypertensive agents the calcium channel blocker diltiazem and the angiotensinconverting enzyme inhibitor captopril on parameters of calcium homeostasis both diltiazem and captopril lowered blood pressure to a similar degree neither drug produced any significant change in blood levels of total and ionized calcium magnesium or phosphorus which affect the regulation of parathyroid hormone and vitamin d in addition at eight or 16 weeks following initiation neither drug altered the serum levels of parathyroid hormone pth or 125oh2vitamin d3 125d chronic calcium channel blockade with diltiazem does not alter serum parameters of calcium homeostasis and thus should not affect bone mineralization ,cardiovascular diseases
2083,4,effects of renin inhibition in systemic hypertension the effect of the direct renin inhibitor enalkiren abbott laboratories was examined in 8 healthy patients with essential hypertension with an unrestricted sodium diet plasma renin concentration was inhibited within 10 minutes by intravenous enalkiren and remained essentially undetectable for greater than or equal to 6 hours 119  4 to 10  06 ng angiotensin imlhour p less than 005 mean arterial blood pressure declined gradually 108  5 to 84  4 mm hg p  002 as did plasma aldosterone concentration 144  38 to 44  08 ngdl p  003 whereas plasma immunoreactive active renin concentration increased progressively 35  14 to 160  60 pgml p greater than 005 urinary excretion of the stable metabolite of prostacyclin 6ketoprostaglandin f1 alpha decreased slightly but not significantly 42  10 to 33  11 ngg creatinine p  013 the addition of a diuretic decreased baseline blood pressure and increased baseline plasma renin and aldosterone values blood pressure responses to enalkiren were slightly though not significantly greater than those observed before diuretic administration we conclude that enalkiren is effective in decreasing blood pressure and in inhibiting the renin system without significantly altering urinary prostacyclin excretion in patients with essential hypertension these results suggest that the renin system contributes to the maintenance of elevated blood pressure in some patients with essential hypertension ,cardiovascular diseases
2084,3,availability of transplantable organs from brain stem dead donors in intensive care units objectiveby audit from january to june 1989 to quantify separately for hearts kidneys liver lungs and corneas the possible increases in transplantable organs from brain stem dead potential donors in intensive care units and to compare them with the increases achieved in octobernovember 1989 during intense national publicity about transplantation designprospective audit of all deaths in intensive care units in england from 1 january to 30 june 1989 and subsequent case study of the impact of publicity on offers and donations during octobernovember 1989 setting15 regional and special health authorities in england patients5803 patients dying in intensive care units of whom 497 were confirmed as brain stem dead and had no general medical contraindication to organ donation main outcome measuresorgan specific suitability for transplantation as reported by intensive care units consent for donation of specific suitable organs and procurement of specific organs reported as suitable for transplantation and offered resultsin the 497 86 brain stem dead potential donors were estimated the organ specific suitability for heart as 63 kidneys 95 liver 70 lungs 29 and corneas 91 refusal of relatives 30 accounted for major losses of suitable organs of all types for kidneys the loss was equivalent to 44 of brain stem dead actual kidney donors no discussion of organ donation was the second most important reason for missed kidney donors the loss being equivalent to 10 of brain stem dead actual donors nonprocurement or difficulties with allocating organs was the second most notable cause of missed suitable liver and lung donors 29 55 of the offered total of 189 liver donors and 27 21 of 78 offered suitable lung donors in six months nonprocurement of suitable offered organs was rare for kidneys and modest of the order of 13 and 10 respectively for heart and corneas corneal donation from brain stem dead potential donors might be improved nearly as much that is a 78 increase in brain stem dead actual corneal donors by specific measures to promote corneal donation when other organs are offered as by reducing the overall refusal rate restricted offers nonprocurement and no discussion of donation accounted for nearly equal numbers of lost donations of hearts each equivalent to 15 of donated hearts during octobernovember 1989 when there was intense positive publicity about transplantation the rates of refusal and nondiscussion fell compared with during januaryjune 22 36163 v 30 138460 7 33497 v 2 4167 respectively offers of suitable donors increased significantly p less than 002 compared with the first six months of 1989 most notably for heart donors 80 v 601 expected and kidney donors 122 v 1021 expected but only for kidneys was there a noticeable 17 increase in actual donors 118 actual audited donors v 1008 expected donors p  009 conclusionsfour strategies to increase the supply of transplantable organs from brain stem dead potential donors in intensive care units were identified a reducing refusal of relatives b avoiding nonprocurement of actually suitable organs by logistical initiatives and deterioration of initially suitable organs by donor care initiatives c converting restricted offers to unrestricted offers and d ensuring discussion with families early referral to the transplant team or coordinator gives time for discussion about donor care and agreement on medical suitability for donation of specific organs solving some of the logistical problems of nonprocurement may be a prerequisite for increased offers to be translated into increased donations the impact of publicity therefore needs to be measured on offers of suitable donors as well as by actual donations ,nervous system diseases
2085,5,asymptomatic rhabdomyolysis of unknown etiology a 7yearold boy developed rhabdomyolysis with a peak creatine phosphokinase level of 261400 iul after his appendectomy these abnormalities occurred following a 23day illness consisting of upper respiratory tract symptoms fever and abdominal pain mimicking acute appendicitis at the time of operation a normal appendix was removed and mesenteric lymphadenitis was noted the myoglobinuria and elevation of creatine phosphokinase were transient and the patient remained asymptomatic we review various causes of right lower quadrant pain and rhabdomyolysis and address the roles of malignant hyperthermia and infectious agents the possible cause of the phenomena observed in this patient is discussed ,general pathological conditions
